,latlon,elevation
0,"61.01610614758428,7.893040402866513",1377
1,"61.01757949192431,7.896199999999999",1365
2,"61.019579111137624,7.89905575219373",1388
3,"61.02204424780627,7.901520888862379",1410
4,"61.0249,7.9035205080756885",1397
5,"61.028059597133485,7.904993852415718",1331
6,"61.031427036446665,7.905896155060244",1287
7,"61.0349,7.906199999999999",1261
8,"61.04010944533001,7.915744232590366",1267
9,"61.045160604299774,7.914390778623577",1278
10,"61.0499,7.9121807621135325",1366
11,"61.054183628290595,7.909181333293569",1495
12,"61.05788133329357,7.905483628290596",1334
13,"61.060880762113534,7.901199999999999",1108
14,"61.063090778623575,7.89646060429977",1025
15,"61.06444423259037,7.891409445330008",1061
16,"61.0649,7.8862",1190
17,"61.06444423259037,7.880990554669991",1303
18,"61.063090778623575,7.87593939570023",1351
19,"61.060880762113534,7.8712",1349
20,"61.05788133329357,7.8669163717094035",1302
21,"61.054183628290595,7.86321866670643",1208
22,"61.0499,7.860219237886467",1133
23,"61.045160604299774,7.858009221376422",979
24,"61.04010944533001,7.856655767409634",1142
25,"61.0349,7.856199999999999",1360
26,"61.02969055466999,7.856655767409634",1356
27,"61.02463939570023,7.858009221376422",1135
28,"61.0199,7.860219237886467",1077
29,"61.015616371709406,7.86321866670643",1095
30,"61.01191866670643,7.8669163717094035",1092
31,"61.00891923788647,7.8712",1119
32,"61.006709221376425,7.87593939570023",1221
33,"61.00535576740963,7.880990554669991",1254
34,"61.0049,7.8862",1259
35,"61.00535576740963,7.891409445330008",1273
36,"61.006709221376425,7.89646060429977",1294
37,"61.00891923788647,7.901199999999999",1310
38,"61.01191866670643,7.905483628290596",1317
39,"61.015616371709406,7.909181333293569",1329
40,"61.0199,7.9121807621135325",1358
41,"61.02463939570023,7.914390778623577",1343
42,"61.02969055466999,7.915744232590366",1321
43,"61.0349,7.9162",1304
44,"61.04184592710668,7.925592310120488",1261
45,"61.048580805733025,7.923787704831436",1328
46,"61.0549,7.920841016151377",1488
47,"61.06061150438746,7.916841777724759",925
48,"61.06554177772476,7.9119115043874615",621
49,"61.069541016151376,7.906199999999999",520
50,"61.07248770483144,7.8998808057330265",501
51,"61.07429231012049,7.893145927106677",513
52,"61.0749,7.8862",643
53,"61.07429231012049,7.879254072893322",876
54,"61.07248770483144,7.872519194266973",1045
55,"61.069541016151376,7.8662",1072
56,"61.06554177772476,7.860488495612538",1216
57,"61.06061150438746,7.85555822227524",1184
58,"61.0549,7.851558983848622",1151
59,"61.048580805733025,7.8486122951685635",958
60,"61.04184592710668,7.846807689879511",1094
61,"61.0349,7.8462",1237
62,"61.02795407289332,7.846807689879511",1075
63,"61.021219194266976,7.8486122951685635",710
64,"61.0149,7.851558983848622",757
65,"61.00918849561254,7.85555822227524",877
66,"61.00425822227524,7.860488495612538",846
67,"61.000258983848624,7.866199999999999",1082
68,"60.99731229516856,7.872519194266973",1289
69,"60.99550768987951,7.879254072893322",1359
70,"60.9949,7.8862",1375
71,"60.99550768987951,7.893145927106677",1357
72,"60.99731229516856,7.8998808057330265",1386
73,"61.000258983848624,7.906199999999999",1395
74,"61.00425822227524,7.9119115043874615",1352
75,"61.00918849561254,7.916841777724759",1333
76,"61.0149,7.920841016151377",1338
77,"61.021219194266976,7.923787704831436",1393
78,"61.02795407289332,7.925592310120488",1407
79,"61.0349,7.9262",1317
80,"61.043582408883346,7.93544038765061",1299
81,"61.05200100716628,7.933184631039295",1250
82,"61.0599,7.929501270189221",1175
83,"61.067039380484324,7.924502222155948",535
84,"61.07320222215595,7.918339380484326",592
85,"61.078201270189226,7.9112",684
86,"61.081884631039294,7.9033010071662835",587
87,"61.08414038765061,7.894882408883346",477
88,"61.0849,7.8862",427
89,"61.08414038765061,7.8775175911166535",588
90,"61.081884631039294,7.869098992833716",643
91,"61.078201270189226,7.861199999999999",510
92,"61.07320222215595,7.854060619515673",590
93,"61.067039380484324,7.847897777844051",865
94,"61.0599,7.842898729810778",1075
95,"61.05200100716628,7.839215368960704",958
96,"61.043582408883346,7.836959612349389",905
97,"61.0349,7.8362",1024
98,"61.026217591116655,7.836959612349389",704
99,"61.01779899283372,7.839215368960704",810
0,"61.0099,7.842898729810778",721
1,"61.002760619515676,7.847897777844051",1114
2,"60.99659777784405,7.854060619515673",864
3,"60.991598729810775,7.861199999999999",972
4,"60.98791536896071,7.869098992833716",1094
5,"60.98565961234939,7.8775175911166535",1168
6,"60.9849,7.8862",1223
7,"60.98565961234939,7.894882408883346",1349
8,"60.98791536896071,7.9033010071662835",1505
9,"60.991598729810775,7.9112",1377
10,"60.99659777784405,7.918339380484326",1419
11,"61.002760619515676,7.924502222155948",1371
12,"61.0099,7.929501270189221",1334
13,"61.01779899283372,7.933184631039295",1458
14,"61.026217591116655,7.93544038765061",1411
15,"61.0349,7.9361999999999995",1350
16,"61.04531889066001,7.945288465180732",1239
17,"61.05542120859954,7.942581557247154",1202
18,"61.0649,7.938161524227066",764
19,"61.073467256581196,7.932162666587138",590
20,"61.08086266658714,7.924767256581192",1245
21,"61.08686152422707,7.9162",1304
22,"61.09128155724716,7.9067212085995395",1203
23,"61.093988465180736,7.896618890660015",1020
24,"61.0949,7.8862",645
25,"61.093988465180736,7.875781109339984",425
26,"61.09128155724716,7.86567879140046",420
27,"61.08686152422707,7.856199999999999",494
28,"61.08086266658714,7.847632743418807",521
29,"61.073467256581196,7.840237333412861",411
30,"61.0649,7.834238475772933",574
31,"61.05542120859954,7.829818442752845",761
32,"61.04531889066001,7.8271115348192675",607
33,"61.0349,7.8262",647
34,"61.02448110933999,7.8271115348192675",518
35,"61.01437879140046,7.829818442752845",1047
36,"61.0049,7.834238475772933",1152
37,"60.996332743418805,7.840237333412861",1178
38,"60.98893733341286,7.847632743418807",1181
39,"60.98293847577293,7.856199999999999",1153
40,"60.97851844275284,7.86567879140046",1156
41,"60.975811534819265,7.875781109339984",1370
42,"60.9749,7.8862",1449
43,"60.975811534819265,7.896618890660015",1247
44,"60.97851844275284,7.9067212085995395",1313
45,"60.98293847577293,7.9162",1412
46,"60.98893733341286,7.924767256581192",1404
47,"60.996332743418805,7.932162666587138",1447
48,"61.0049,7.938161524227066",1339
49,"61.01437879140046,7.942581557247154",1464
50,"61.02448110933999,7.945288465180732",1317
51,"61.0349,7.946199999999999",1395
52,"61.04705537243669,7.9551365427108545",964
53,"61.0588414100328,7.951978483455013",820
54,"61.0699,7.94682177826491",516
55,"61.07989513267806,7.939823111018328",1203
56,"61.088523111018326,7.931195132678058",1371
57,"61.09552177826491,7.9212",1374
58,"61.10067848345501,7.9101414100327965",1287
59,"61.10383654271085,7.898355372436685",1014
60,"61.1049,7.8862",1036
61,"61.10383654271085,7.874044627563315",1061
62,"61.10067848345501,7.862258589967203",644
63,"61.09552177826491,7.8511999999999995",797
64,"61.088523111018326,7.841204867321942",854
65,"61.07989513267806,7.832576888981671",788
66,"61.0699,7.825578221735089",468
67,"61.0588414100328,7.820421516544986",404
68,"61.04705537243669,7.817263457289145",400
69,"61.0349,7.816199999999999",358
70,"61.02274462756331,7.817263457289145",669
71,"61.0109585899672,7.820421516544986",1154
72,"60.999900000000004,7.825578221735089",1349
73,"60.98990486732194,7.832576888981671",1481
74,"60.981276888981675,7.841204867321942",1445
75,"60.97427822173509,7.8511999999999995",1273
76,"60.96912151654499,7.862258589967203",1149
77,"60.96596345728915,7.874044627563315",1431
78,"60.9649,7.8862",1504
79,"60.96596345728915,7.898355372436685",1515
80,"60.96912151654499,7.9101414100327965",1350
81,"60.97427822173509,7.9212",1317
82,"60.981276888981675,7.931195132678058",1455
83,"60.98990486732194,7.939823111018328",1475
84,"60.999900000000004,7.94682177826491",1536
85,"61.0109585899672,7.951978483455013",1455
86,"61.02274462756331,7.9551365427108545",1373
87,"61.0349,7.9562",1275
88,"61.048791854213356,7.964984620240976",717
89,"61.062261611466056,7.961375409662872",649
90,"61.0749,7.955482032302755",552
91,"61.086323008774926,7.947483555449518",1284
92,"61.09618355544952,7.937623008774922",1380
93,"61.10418203230275,7.9262",1315
94,"61.110075409662876,7.913561611466053",1204
95,"61.113684620240974,7.900091854213354",1322
96,"61.1149,7.8862",1300
97,"61.113684620240974,7.872308145786645",1170
98,"61.110075409662876,7.858838388533946",751
99,"61.10418203230275,7.8462",1156
